@relation movies

@Attribute Director string
@Attribute Actor string
@Attribute Writer string
@Attribute Genre string
@Attribute Class {Yes,No}

@Data
'Peter Jackson','Ian McKellen','Fran Walsh','Adventure','Yes'
'Paul J. Smith','Paul Frees','Cal Howard','Animation','No'
'Kieran Galvin','Brett Partridge','Kieran Galvin','Short','Yes'
'Steve Piper','David House','Jason Young','Drama','Yes'
'Jessy Terrero','50 Cent','50 Cent','Action','No'
'Bob Hardison','Jade Dornfeld','Bob Hardison','Horror','No'
'Joseph Manduke','Chris Potter','Victor Bardack','Family','Yes'
'Brian Levant','John Goodman','Tom S. Parker','Comedy','No'
'Wade Gasque','Mark Strano','Wade Gasque','Short','Yes'
'Mick Garris','Brian Krause','Stephen King','Horror','Yes'
'John Lyde','Nichelle Aiden','Adam Abram','Action','No'
'Ron Oliver','Sunny Mabrey','Ron Oliver','Drama','No'
'Shane Wheeler','Bill Oberst Jr.','Shane Wheeler','Action','No'
'Robert Altman','Andie MacDowell','Raymond Carver','Comedy','Yes'
'Antti Jokinen','Laura Birn','Marko Leino','Crime','Yes'
'Jack Pratt','Betty Brice','Daniel Carson Goodman','Drama','No'
'Reginald Beck','Rex Harrison','W.E. Fairchild','Crime','Yes'
'Edwin L. Marin','Robert Young','Frank Fenton','Comedy','Yes'
'Aaron Rookus','Gaëtane Buchez','Karin Koetsveld','Short','Yes'
'Scott Derrickson','Keanu Reeves','David Scarpa','Drama','Yes'
'Roel Reiné','Jason Fijal','Aliefka Bijlsma','Crime','No'
'Harry Hurwitz','Chuck McCann','Harry Hurwitz','Comedy','Yes'
'Hiroshi Shinagawa','Hiroki Narimiya','Hiroshi Shinagawa','Comedy','Yes'
'Joel Coen','William H. Macy','Ethan Coen','Crime','Yes'
'Radu Mihaileanu','Leïla Bekhti','Radu Mihaileanu','Comedy','Yes'
'Jean Negulesco','Hope Lange','Edith R. Sommer','Drama','Yes'
'Stuart Orme','Donald Sutherland','Robert A. Heinlein','Horror','Yes'
'Doug Bollinger','Anthony Bradford','Anthony Bradford','Short','Yes'
'Susanne Bier','Trine Dyrholm','Anders Thomas Jensen','Comedy','Yes'
'Eskil Vogt','Ellen Dorrit Petersen','Eskil Vogt','Drama','Yes'
'Michael Apted','Madeleine Stowe','Dana Stevens','Crime','Yes'
'René Besson','Rachel Miner','James Portolese','Action','No'
'Nick Reding','Ednah Daisy','Nick Reding','Comedy','Yes'
'Michael Dowse','Paul Kaye','Michael Dowse','Comedy','Yes'
'Jack Bender','Shannen Doherty','Kathleen Rowell','Drama','Yes'
'Ridley Scott','Noomi Rapace','Jon Spaihts','Adventure','Yes'
'Yolanda García Serrano','Loles León','Yolanda García Serrano','Comedy','Yes'
'David Mackay','Jeremy London','Virginia Gilbert','Drama','Yes'
'Matti Ijäs','Jarkko Pajunen','Juha Lehtola','Comedy','No'
'Tiago Guedes','Adriano Luz','Rodrigo Guedes de Carvalho','Horror','Yes'
'Ben Stiller','Winona Ryder','Helen Childress','Comedy','Yes'
'Althea Wasow','Ramon Rodriguez','Althea Wasow','Short','Yes'
'Pen-Ek Ratanaruang','Nopachai Chaiyanam','Win Lyovarin','Crime','Yes'
'John C. Lyons','William R. Vitanyi Jr.','Erika Dauber','Short','Yes'
'Marc-Andre Samson','Shiloh Fernandez','Marc-Andre Samson','Thriller','No'
'David Delrieux','Julien Boisselier','Daniel Keyes','Drama','Yes'
'Candida Royalle','Nina Hartley','Candida Royalle','Adult','Yes'
'Stephen Cyrus Sepher','Tony Amendola','Roy Jahangard','Comedy','Yes'
'Igor Shatrov','Nikolai Yakhontov','Valentin Ezhov','Drama','Yes'
'Wolfgang Reitherman','Sebastian Cabot','Larry Clemmons','Animation','Yes'
'Alexandre Bustillo','Alysson Paradis','Julien Maury','Horror','Yes'
'William K.L. Dickson','Eugen Sandow','William K.L. Dickson','Short','Yes'
'Michelangelo Antonioni','Li Gong','Kar Wai Wong','Drama','Yes'
'Santiago Fernández Calvete','Evangelina Cueto','Santiago Fernández Calvete','Fantasy','No'
'Bruce Stuart Greenberg','Mark Canton','Brandi Wismann','Comedy','Yes'
'Sonny Laguna','Andreas Vaehi','Sonny Laguna','Horror','No'
'Ron Perozzi','Ethan Cadoff','Ron Perozzi','Drama','Yes'
'Jayantha Chandrasiri','Uddika Premarathna','Jayantha Chandrasiri','History','Yes'
'Thornton Freeland','Carroll Levis','Robert Buckland','Crime','Yes'
'Gaylord Parsons','Mandi Lee','Gaylord Parsons','Drama','Yes'
'George Manatos','Karl Antony','George Manatos','Short','Yes'
'Drake Doremus','Matthew Lillard','Drake Doremus','Comedy','Yes'
'J. Adam White','Paula Ilabaca','J. Adam White','Comedy','Yes'
'Gérard Pirès','Samy Naceri','Luc Besson','Action','Yes'
'Marcos Siega','Damon Shalit','Tracy McArdle','Crime','Yes'
'Nadia Tass','Alana De Roma','David Parker','Drama','Yes'
'Pavan Kaul','Dino Morea','Bhavani Iyer','Drama','Yes'
'Georgiy Daneliya','Vakhtang Kikabidze','Georgiy Daneliya','Comedy','Yes'
'Bryan Casey','Justin Brierley','Bryan Casey','Short','No'
'Norman Jewison','Marisa Tomei','Diane Drake','Comedy','Yes'
'James Toback','Nastassja Kinski','James Toback','Drama','Yes'
'Zeki Demirkubuz','Güven Kiraç','Zeki Demirkubuz','Drama','Yes'
'Robert Fuest','Horst Buchholz','Pierre Louÿs','Drama','No'
'Toby Wilkins','Alec Newman','Paul Sopocy','Drama','Yes'
'Juan Taratuto','Paola Barrientos','Eduardo Sacheri','Comedy','Yes'
'Charles Ricciardi','Jon Shaver','Charles Ricciardi','Drama','No'
'Terry Miles','Steve Austin','John Sullivan','Action','Yes'
'Yuthlert Sippapak','Laila Boonyasak','Yuthlert Sippapak','Comedy','Yes'
'Roman Polanski','Jon Finch','William Shakespeare','Drama','Yes'
'Pernilla August','Noomi Rapace','Susanna Alakoski','Drama','Yes'
'Alexandre Heboyan','Omar Sy','Jérôme Fansten','Animation','Yes'
'John Hillcoat','Viggo Mortensen','Cormac McCarthy','Adventure','Yes'
'Don Medford','Robert Blake','E. Nick Alexander','Drama','Yes'
'Christopher Kilcullen','Stephen Kilcullen','Christopher Kilcullen','Comedy','No'
'Mika Ohmori','Ryô Kase','Erika Sakurazawa','Drama','Yes'
'Craig Macneill','Clay McLeod Chapman','Clay McLeod Chapman','Short','Yes'
'Mark Millicent','Kris Scholes','Mark Millicent','Short','Yes'
'Jason Todd Ipson','Corri English','Chris Billett','Horror','Yes'
'Fritz Lang','Sylvia Sidney','Gene Towne','Crime','Yes'
'Abel Gance','Pierre Mondy','Abel Gance','Drama','Yes'
'Doug Campbell','Haylie Duff','Ken Sanders','Thriller','Yes'
'Dante Tomaselli','Kreskin','Dante Tomaselli','Horror','No'
'Martin Rutley','Gemma Deerfield','Andrew Rutley','Drama','No'
'Miroslav Cikán','Miluse Zoubková','Frantisek Kubka','Comedy','Yes'
'Katt Shea','Christina Applegate','Andy Ruben','Action','Yes'
'Jazzmyn Banks','Erin Cronican','Jazzmyn Banks','Comedy','Yes'
'John Curran','Lily Pearl','Marion Nelson','Adventure','Yes'
'F.W. Murnau','Emil Jannings','Carl Mayer','Drama','Yes'
'Ernst Lubitsch','Ronald Colman','Oscar Wilde','Comedy','Yes'
'Serge Korber','Jean-Louis Trintignant','Pascal Jardin','Romance','Yes'
'Steven Richter','Greg James','Steven Richter','Drama','Yes'
'Stuart Urban','Natasha Wightman','Frank Falco','Adventure','No'
'Adam Russell','Adam El-Ramos','Adam Russell','Short','Yes'
'Molly Maguire','Katie Maguire','Katie Maguire','Short','Yes'
'Jessie McCormack','Michelle Monaghan','Jessie McCormack','Comedy','Yes'
'Peter Yates','Peter Falk','Max Apple','Comedy','Yes'
'Jennifer Reeder','Ultra-Violet Archer','Jennifer Reeder','Short','Yes'
'Tim Szczesniak','Tom Sizemore','Paul Hilburger','Action','No'
'Bjarte Aune Olsen','Eindride Eidsvold','Magnus Nome','Comedy','Yes'
'Michael Lembeck','Dwayne Johnson','Lowell Ganz','Comedy','Yes'
'James Mangold','Pruitt Taylor Vince','James Mangold','Drama','Yes'
'Norman Taurog','Dean Martin','Fred F. Finklehoffe','Comedy','Yes'
'Eduardo Mignogna','Miguel �?ngel Solá','Jorge Goldenberg','Crime','Yes'
'M. Sadiq','Bina Rai','Qamar Jalalabadi','Drama','Yes'
'James Glenn Dudelson','Lisa Blair','Ana Clavell','Sci-Fi','No'
'Bill L. Norton','Charlie Sheen','Richard Martini','Drama','Yes'
'Francis Ford Coppola','Marlon Brando','John Milius','Drama','Yes'
'Luigi Cecinelli','Henry Garrett','Andrea Dal Monte','Horror','No'
'Luis Mandoki','Charlize Theron','Greg Iles','Crime','Yes'
'Alexandre Paschoalini','Sol Faganello','Rafael Baliú','Drama','Yes'
'Tamra Davis','Adam Sandler','Tim Herlihy','Comedy','Yes'
'Frans Weisz','Birgit Doll','Judith Herzberg','Biography','Yes'
'Hans Horn','Susan May Pratt','Adam Kreutner','Drama','Yes'
'Harvey Frost','Candace Cameron Bure','Harvey Frost','Drama','Yes'
'Pavel Lungin','Oleg Borisov','Pavel Lungin','Drama','Yes'
'Richard Somes','Erich Gonzales','Richard Somes','Drama','Yes'
'Dan Mackler','Ken Weiler','Donté Bonner','Comedy','Yes'
'Andrei Tarkovsky','Alisa Freyndlikh','Arkadiy Strugatskiy','Drama','Yes'
'Klaus Maria Brandauer','Klaus Maria Brandauer','Stephen Sheppard','Drama','Yes'
'Liz Tuccillo','Leslie Bibb','Liz Tuccillo','Comedy','Yes'
'Gregory Duke','Peter Lee Cameron','Steve Hutton','Comedy','No'
'Yasuharu Hasebe','Akira Kobayashi','Yoshihiro Ishimatsu','Action','Yes'
'Jordan Scott','Amanda Detmer','David Carter','Comedy','Yes'
'Christopher Mauldin','Atom Albany','Christopher Mauldin','Short','Yes'
'Serif Gören','Tarik Akan','Erdogan Tünas','Romance','Yes'
'Ari Sandel','Mae Whitman','Josh A. Cagan','Comedy','Yes'
'Costa-Gavras','Jack Lemmon','Costa-Gavras','Drama','Yes'
'Mora Stephens','Lena Headey','Mora Stephens','Drama','Yes'
'John Ford','John Wayne','Frank S. Nugent','Adventure','Yes'
'Bill Guttentag','Eva Mendes','Bill Guttentag','Drama','Yes'
'C.S. Drury','Ashley C. Williams','C.S. Drury','Drama','No'
'Derrick Borte','David Duchovny','Randy T. Dinzler','Comedy','Yes'
'Giorgio Panariello','Giorgio Panariello','Andrea Dal Monte','Comedy','No'
'Vijay Anand','Dev Anand','Vijay Anand','Drama','Yes'
'Lal Jose','Prithviraj Sukumaran','James Albert','Drama','Yes'
'Viktor Gres','Sergey Koltakov','Viktor Gres','Adventure','Yes'
'Stanley Kubrick','Peter Sellers','Stanley Kubrick','Comedy','Yes'
'Penelope Buitenhuis','Amanda Donohoe','Peter Mohan','Crime','Yes'
'Tom Verica','Jay Acovone','Jack Coleman','Comedy','Yes'
'Alex Holowicki','Chris Kotcher','Brian Crandall','Drama','Yes'
'Ridley Scott','Russell Crowe','Brian Helgeland','Action','Yes'
'Davis Guggenheim','Jesse Lee Soffer','Lisa Marie Petersen','Biography','Yes'
'Chad Michael','Terry Becker','Chad Michael','Fantasy','Yes'
'Anatole Litvak','Deborah Kerr','George Tabori','Drama','Yes'
'Masahiro Shinoda','David Lampson','Shûsaku Endô','Drama','Yes'
'Paul Schattel','Jessica Bachar','The Alison Cast','Drama','Yes'
'Jin-pyo Park','Do-yeon Jeon','Jin-pyo Park','Drama','Yes'
'George Mendeluk','Muhammad Ali','Franelle Silver','Comedy','Yes'
'Tim Saguinsin','Erick Esteban','Timoteo Saguinsin','Animation','Yes'
'Michael Winterbottom','Christopher Eccleston','Hossein Amini','Drama','Yes'
'Alejandro Doria','Pablo Brichta','Juan Carlos Cernadas Lamadrid','Drama','Yes'
'Woody Allen','Woody Allen','Woody Allen','Comedy','Yes'
'Erik Matti','Gio Alvarez','Erik Matti','Short','Yes'
'Juan Carlos Carrasco','Carmen Salinas','Juan Carlos Carrasco','Comedy','No'
'Roy Del Ruth','Eleanor Powell','Jack McGowan','Musical','Yes'
'Dennis Gansel','Jürgen Vogel','Ron Jones','Drama','Yes'
'Nora Ephron','John Travolta','Peter Dexter','Comedy','Yes'
'Yasujirô Ozu','Chôko Iida','Yasujirô Ozu','Drama','Yes'
'Miguel �?ngel Vivas','Fernando Cayo','Javier García','Horror','Yes'
'Harry Winer','Kyle Howard','Michael Hitchcock','Comedy','Yes'
'Lester James Peries','K.L. Coranelis Appuhamy','Tissa Abeysekera','Drama','Yes'
'Luis Mandoki','Kevin Costner','Nicholas Sparks','Drama','Yes'
'Surya S.J.','Surya S.J.','Surya S.J.','Drama','Yes'
'Carly Lyn','Jmeka Cherrel','Carly Lyn','Short','Yes'
'Alexis Thurn-Taxis','James Ellison','Edith Watkins','Comedy','Yes'
'Mohit Ramchandani','Adrian Alita','Mohit Ramchandani','Short','Yes'
'Alex Garland','Alicia Vikander','Alex Garland','Drama','Yes'
'Patrick Poole','Wilford Brimley','Patrick Poole','Horror','Yes'
'Jonathan Sanger','Betty White','Lynn Roth','Comedy','Yes'
'Woody Allen','Jim Dunk','Woody Allen','Comedy','Yes'
'Jonathan Braucher','James R. Johnson','Jonathan Braucher','Short','No'
'Sokrates Kapsaskis','Vasilis Avlonitis','Nikos Tsiforos','Comedy','Yes'
'Dan Scanlon','Billy Crystal','Dan Scanlon','Animation','Yes'
'Farhad','Akshay Kumar','Farhad','Comedy','No'
'Aditya Datt','Aryeman Ramsay','Rajan Aggarwal','Comedy','No'
'Lilah Vandenburgh','Keira Leverton','Lilah Vandenburgh','Short','Yes'
'Andy Samberg','Andy Samberg','Andy Samberg','Short','Yes'
'Bryan Gunnar Cole','Elijah Wood','Robert Malkani','Drama','Yes'
'Carsten Unger','Sibylle Canonica','M. Reza Bahar','Crime','Yes'
'David Miller','John Wayne','Kenneth Gamet','Action','Yes'
'Kinji Fukasaku','Bunta Sugawara','Koichi Iiboshi','Crime','Yes'
'Michael Toshiyuki Uno','Guy Boyd','Gill Dennis','Drama','Yes'
'Paul Burch','Joe Gariffo','Paul Burch','Short','Yes'
'Nikos Grammatikos','Vangelis Mourikis','Nikos Grammatikos','Drama','Yes'
'Herman Yau','Man Sze Au','Kai Git Lai','Mystery','Yes'
'Christoffer Boe','Jens Albinus','Christoffer Boe','Drama','Yes'
'Raoul Ruiz','Bernard Giraudeau','Raoul Ruiz','Comedy','Yes'
'Wesley Ruggles','Richard Dix','Edna Ferber','Drama','Yes'
'Adam Nix','Nikki Glaser','Adam Cayton-Holland','Comedy','Yes'
'Tom Holland','Catherine Hicks','Don Mancini','Horror','Yes'
'Dylan Reynolds','Sadie Katz','Matthew James','Comedy','No'
'Romano Scavolini','Baird Stafford','Romano Scavolini','Horror','Yes'
'Sanjay Leela Bhansali','Amitabh Bachchan','Sanjay Leela Bhansali','Drama','Yes'
'David Cross','James Adomian','David Cross','Comedy','Yes'
'Matt Mitchell','John Rutland','April Kruger','Thriller','Yes'
'Kevin Carlin','Jimeoin','Jimeoin','Comedy','No'
'Vincent Scordia','Corey Feldman','Jeff Siegel','Comedy','No'
'Marion Hänsel','Stephen Rea','Nikos Kavvadias','Drama','Yes'
'Roxy Shih','Caitlin Gallogly','Roxy Shih','Short','Yes'
'Patrick Devaney','Gareth Anderson','Patrick Devaney','Short','Yes'
'LazRael Lison','Leslie Easterbrook','LazRael Lison','Horror','No'
'Cristobal Araus Lobos','Owen Black','John Argall','Western','Yes'
'Harold Trompetero','Diego Trujillo','Heidy Martinez','Drama','Yes'
'Walter Klenhard','Harry Hamlin','Walter Klenhard','Mystery','Yes'
'Mark Rydell','Richard Gere','David Rayfiel','Drama','Yes'
'Maris Martinsons','Valda Bickute','Maris Martinsons','Drama','Yes'
'Liam Kiernan','Seán Cullen','Liam Kiernan','Short','Yes'
'Ernst Lubitsch','Max Kronert','E.T.A. Hoffmann','Comedy','Yes'

